tripduration,starttime,,,start station name,,,,end station name,,,bikeid,usertype,birth year,gender
1493,2013-06-01 0:19,,,Christopher St & Greenwich St,,,,2 Ave & E 31 St,,,20306,Subscriber,1980,2
1622,2013-06-01 0:19,,,NYCBS Depot - DEL,,,,11 Ave & W 41 St,,,15536,Customer,NULL,0
1561,2013-06-01 0:20,,,Harrison St & Hudson St,,,,Pearl St & Anchorage Pl,,,15678,Subscriber,1976,1
547,2013-06-01 0:11,,,E 7 St & Avenue A,,,,NULL,,,17470,Subscriber,1980,1
960,2013-06-01 0:20,,,Franklin St & W Broadway,,,,Washington Square E,,,15533,Subscriber,1983,1
1542,2013-06-01 0:20,,,W 52 St & 11 Ave,,,,11 Ave & W 41 St,,,17427,Customer,NULL,0
627,2013-06-01 0:21,,,Broadway & W 41 St,,,,Broadway & W 41 St,,,19411,Subscriber,1976,1
518,2013-06-01 0:21,,,Perry St & Bleecker St,,,,W 13 St & 6 Ave,,,15647,Subscriber,1982,1
587,2013-06-01 0:21,,,Forsyth St & Canal St,,,,Forsyth St & Canal St,,,20197,Subscriber,1968,1
42964,2013-06-01 0:22,,,8 Ave & W 31 St N,,,,DeKalb Ave & Hudson Ave,,,18157,Subscriber,1987,2
1343,2013-06-01 0:22,,,8 Ave & W 31 St N,,,,W 47 St & 10 Ave,,,20176,Customer,NULL,0
410,2013-06-01 0:22,,,8 Ave & W 33 St,,,,W 37 St & 10 Ave,,,20338,Subscriber,1985,1
206,2013-06-01 0:22,,,9 Ave & W 22 St,,,,W 22 St & 10 Ave,,,15954,Subscriber,1971,1
975,2013-06-01 0:22,,,Washington Pl & 6 Ave,,,,Cleveland Pl & Spring St,,,18299,Subscriber,1977,1
911,2013-06-01 0:22,,,6 Ave & W 33 St,,,,E 10 St & 5 Ave,,,17211,Customer,NULL,0
1297,2013-06-01 0:23,,,8 Ave & W 31 St N,,,,W 47 St & 10 Ave,,,16608,Customer,NULL,0
807,2013-06-01 0:23,,,E 20 St & Park Ave,,,,E 20 St & Park Ave,,,19072,Customer,NULL,0
377,2013-06-01 0:23,,,W 51 St & 6 Ave,,,,Macon St & Nostrand Ave,,,18981,Subscriber,1982,1
1462,2013-06-01 0:24,,,Broadway & Berry St,,,,W 15 St & 7 Ave,,,19600,Subscriber,1985,1
500,2013-06-01 0:24,,,W 33 St & 7 Ave,,,,W 20 St & 7 Ave,,,19376,Subscriber,1954,1
477,2013-06-01 0:24,,,NYCBS Depot - DEL,,,,Broadway & W 24 St,,,16289,Subscriber,1963,1
1744,2013-06-01 0:25,,,St Marks Pl & 2 Ave,,,,Fulton St & Washington Ave,,,15888,Subscriber,1984,1
1671,2013-06-01 0:26,,,Catherine St & Monroe St,,,,Hicks St & Montague St,,,15228,Customer,NULL,0
1638,2013-06-01 0:26,,,Catherine St & Monroe St,,,,Hicks St & Montague St,,,20080,Customer,NULL,0
2461,2013-06-01 0:28,,,E 11 St & Broadway,,,,Columbia St & Rivington St,,,14577,Subscriber,1980,1
183,2013-06-01 0:28,,,Forsyth St & Canal St,,,,Madison St & Clinton St,,,18856,Subscriber,1990,0
985,2013-06-01 0:29,,,Broadway & E 14 St,,,,E 5 St & Avenue C,,,20195,Subscriber,1990,1
1024,2013-06-01 0:29,,,Broadway & E 14 St,,,,E 5 St & Avenue C,,,15487,Subscriber,1990,1
1496,2013-06-01 0:30,,,S 5 Pl & S 5 St,,,,Mott St & Prince St,,,18886,Customer,NULL,0
583,2013-06-01 0:30,,,Lafayette St & E 8 St,,,,Perry St & Bleecker St,,,19456,Subscriber,1973,1
905,2013-06-01 0:31,,,Great Jones St,,,,West St & Chambers St,,,18976,Customer,NULL,0
1035,2013-06-01 0:31,,,Mercer St & Spring St,,,,9 Ave & W 14 St,,,15271,Subscriber,1987,1
367,2013-06-01 0:31,,,W 20 St & 8 Ave,,,,W 29 St & 9 Ave,,,17193,Subscriber,1960,1
412,2013-06-01 0:33,,,Broadway & E 14 St,,,,1 Ave & E 16 St,,,17800,Customer,NULL,0
1246,2013-06-01 0:33,,,E 10 St & Avenue A,,,,Bank St & Washington St,,,15971,Subscriber,1990,1
124,2013-06-01 0:33,,,Emerson Pl & Myrtle Ave,,,,Willoughby Ave & Hall St,,,19347,Subscriber,1984,1
501,2013-06-01 0:34,,,Shevchenko Pl & E 7 St,,,,Warren St & Church St,,,19080,Subscriber,1974,1
3719,2013-06-01 0:34,,,Lawrence St & Willoughby St,,,,Atlantic Ave & Fort Greene Pl,,,14842,Customer,NULL,0
1525,2013-06-01 0:34,,,Cadman Plaza W & Pierrepont St,,,,E 14 St & Avenue B,,,17778,Subscriber,1984,1
1526,2013-06-01 0:34,,,Cadman Plaza W & Pierrepont St,,,,E 14 St & Avenue B,,,18269,Subscriber,1985,1
1088,2013-06-01 0:34,,,Franklin St & W Broadway,,,,E 4 St & 2 Ave,,,15601,Subscriber,1964,1
879,2013-06-01 0:35,,,1 Ave & E 16 St,,,,E 51 St & 1 Ave,,,19806,Subscriber,1976,1
8299,2013-06-01 0:35,,,S 3 St & Bedford Ave,,,,Allen St & Stanton St,,,19318,Customer,NULL,0
357,2013-06-01 0:36,,,E 4 St & 2 Ave,,,,1 Ave & E 16 St,,,18586,Subscriber,1983,1
2215,2013-06-01 0:37,,,Henry St & Atlantic Ave,,,,Atlantic Ave & Furman St,,,19878,Customer,NULL,0
915,2013-06-01 0:37,,,Clinton St & Joralemon St,,,,Atlantic Ave & Fort Greene Pl,,,19810,Subscriber,1985,1
2184,2013-06-01 0:38,,,Henry St & Atlantic Ave,,,,Atlantic Ave & Furman St,,,17770,Customer,NULL,0
547,2013-06-01 0:38,,,E 52 St & 2 Ave,,,,Greenwich Ave & Charles St,,,17183,Subscriber,1967,1
934,2013-06-01 0:40,,,St Marks Pl & 2 Ave,,,,E 39 St & 2 Ave,,,19079,Subscriber,1974,1
537,2013-06-01 0:40,,,W 15 St & 7 Ave,,,,NULL,,,15090,Subscriber,1981,1
1142,2013-06-01 0:41,,,Mercer St & Spring St,,,,8 Ave & W 52 St,,,16451,Customer,NULL,0
586,2013-06-01 0:41,,,Broadway & W 41 St,,,,W 18 St & 6 Ave,,,19411,Subscriber,1976,1
601,2013-06-01 0:41,,,Broadway & W 41 St,,,,W 14 St & The High Line,,,17941,Subscriber,1981,2
509,2013-06-01 0:43,,,E 11 St & Broadway,,,,Little West St & 1 Pl,,,16570,Subscriber,1970,1
97,2013-06-01 0:44,,,Willoughby Ave & Hall St,,,,Emerson Pl & Myrtle Ave,,,17844,Subscriber,1984,1
529,2013-06-01 0:44,,,E 60 St & York Ave,,,,Broadway & W 29 St,,,17006,Subscriber,1984,1
693,2013-06-01 0:44,,,Grand Army Plaza & Central Park S,,,,E 20 St & 2 Ave,,,14570,Subscriber,1983,1
437,2013-06-01 0:44,,,W 46 St & 11 Ave,,,,W 47 St & 10 Ave,,,15387,Subscriber,1990,2
100,2013-06-01 0:43,,,Bayard St & Baxter St,,,,Bayard St & Baxter St,,,17136,Subscriber,1984,2
1787,2013-06-01 0:45,,,Pike St & E Broadway,,,,Hudson St & Reade St,,,16315,Customer,NULL,0
1797,2013-06-01 0:45,,,Pike St & E Broadway,,,,W 18 St & 6 Ave,,,15105,Customer,NULL,0
2347,2013-06-01 0:45,,,Clermont Ave & Lafayette Ave,,,,Lafayette Ave & St James Pl,,,18572,Subscriber,1996,1
244,2013-06-01 0:41,,,W 33 St & 7 Ave,,,,W 20 St & 11 Ave,,,15070,Subscriber,1973,1
450,2013-06-01 0:47,,,Suffolk St & Stanton St,,,,Bayard St & Baxter St,,,15097,Customer,NULL,0
75,2013-06-01 0:47,,,S 3 St & Bedford Ave,,,,S 3 St & Bedford Ave,,,15148,Subscriber,1988,1
684,2013-06-01 0:47,,,Mercer St & Spring St,,,,Mercer St & Bleecker St S,,,15889,Customer,NULL,0
480,2013-06-01 0:47,,,2 Ave & E 31 St,,,,E 20 St & 2 Ave,,,14987,Subscriber,1965,2
472,2013-06-01 0:47,,,2 Ave & E 31 St,,,,NULL,,,16257,Subscriber,1965,1
878,2013-06-01 0:47,,,Norfolk St & Broome St,,,,John St & William St,,,20341,Subscriber,1969,1
704,2013-06-01 0:48,,,Watts St & Greenwich St,,,,Bayard St & Baxter St,,,15243,Subscriber,1982,1
1797,2013-06-01 0:48,,,S 3 St & Bedford Ave,,,,Christopher St & Greenwich St,,,19764,Subscriber,1988,1
277,2013-06-01 0:49,,,Adelphi St & Myrtle Ave,,,,St James Pl & Pearl St,,,17637,Subscriber,1984,1
1181,2013-06-01 0:49,,,Hudson St & Reade St,,,,W 13 St & 5 Ave,,,16905,Subscriber,1966,1
120540,2013-06-01 0:33,,,W 25 St & 6 Ave,,,,W 43 St & 10 Ave,,,16685,Subscriber,1983,1
294,2013-06-01 0:50,,,W 39 St & 9 Ave,,,,W 53 St & 10 Ave,,,16339,Subscriber,1981,1
1086,2013-06-01 0:48,,,9 Ave & W 14 St,,,,Warren St & Church St,,,18802,Subscriber,1966,1
673,2013-06-01 0:40,,,8 Ave & W 52 St,,,,E 13 St & Avenue A,,,18318,Subscriber,1982,1
793,2013-06-01 0:51,,,Franklin St & W Broadway,,,,E 58 St & 3 Ave,,,16936,Customer,NULL,0
1270,2013-06-01 0:48,,,Broadway & W 37 St,,,,Rivington St & Ridge St,,,16309,Subscriber,1979,1
1097,2013-06-01 0:52,,,12 Ave & W 40 St,,,,W 13 St & 7 Ave,,,19902,Subscriber,1986,1
1825,2013-06-01 0:52,,,South St & Whitehall St,,,,Metropolitan Ave & Bedford Ave,,,18952,Subscriber,1982,1
848,2013-06-01 0:53,,,Cadman Plaza W & Pierrepont St,,,,Front St & Gold St,,,16284,Subscriber,1982,2
210,2013-06-01 0:53,,,Washington Square E,,,,W 4 St & 7 Ave S,,,17209,Subscriber,1991,1
917,2013-06-01 0:53,,,Mott St & Prince St,,,,E 10 St & Avenue A,,,19289,Subscriber,1971,1
1179,2013-06-01 0:54,,,Bank St & Washington St,,,,E 5 St & Avenue C,,,16696,Subscriber,1990,1
1717,2013-06-01 0:55,,,John St & William St,,,,W 15 St & 7 Ave,,,15995,Subscriber,1952,1
5648,2013-06-01 0:55,,,Old Fulton St,,,,Old Fulton St,,,15613,Customer,NULL,0
857,2013-06-01 0:55,,,E 20 St & 2 Ave,,,,W 27 St & 7 Ave,,,15259,Subscriber,1987,1
5607,2013-06-01 0:55,,,Old Fulton St,,,,Old Fulton St,,,17275,Customer,NULL,0
1532,2013-06-01 0:56,,,Jay St & Tech Pl,,,,W 37 St & 10 Ave,,,17507,Customer,NULL,0
1483,2013-06-01 0:57,,,Lafayette St & E 8 St,,,,W 37 St & 10 Ave,,,20247,Subscriber,1973,1
2203,2013-06-01 0:55,,,Washington St & Gansevoort St,,,,E 2 St & Avenue C,,,19089,Subscriber,1983,1
670,2013-06-01 0:57,,,W 20 St & 11 Ave,,,,W 20 St & 8 Ave,,,17080,Subscriber,1965,1
1460,2013-06-01 0:58,,,E 3 St & 1 Ave,,,,Grand Army Plaza & Central Park S,,,19491,Subscriber,1983,2
888,2013-06-01 0:59,,,W 13 St & 7 Ave,,,,West St & Chambers St,,,18466,Subscriber,1985,2
602,2013-06-01 0:59,,,MacDougal St & Washington Sq,,,,E 15 St & Irving Pl,,,18965,Subscriber,1983,1
607,2013-06-01 0:59,,,MacDougal St & Washington Sq,,,,Cadman Plaza West & Montague St,,,16318,Subscriber,1983,2
1329,2013-06-01 1:01,,,Fulton St & Washington Ave,,,,DeKalb Ave & S Portland Ave,,,17424,Subscriber,1987,2
262,2013-06-01 1:01,,,Catherine St & Monroe St,,,,8 Ave & W 31 St N,,,16898,Subscriber,1984,1
520,2013-06-01 1:01,,,Fulton St & Washington Ave,,,,DeKalb Ave & S Portland Ave,,,17533,Subscriber,1974,2
5301,2013-06-01 1:01,,,6 Ave & Canal St,,,,Metropolitan Ave & Bedford Ave,,,18293,Customer,NULL,0
