tripduration,starttime,,,start station name,,,,end station name,,,bikeid,usertype,birth year,gender
835,2013-06-01 11:04,,,Great Jones St,,,,9 Ave & W 16 St,,,15300,Customer,NULL,0
1529,2013-06-01 11:04,,,E 27 St & 1 Ave,,,,West Thames St,,,15002,Customer,NULL,0
4257,2013-06-01 11:04,,,W 43 St & 10 Ave,,,,Central Park S & 6 Ave,,,17290,Subscriber,1982,1
1526,2013-06-01 11:04,,,W 21 St & 6 Ave,,,,Barclay St & Church St,,,19417,Customer,NULL,0
1299,2013-06-01 11:05,,,Clinton St & Joralemon St,,,,Murray St & West St,,,19120,Subscriber,1966,2
445,2013-06-01 11:05,,,W 18 St & 6 Ave,,,,E 32 St & Park Ave,,,15296,Subscriber,1970,1
603,2013-06-01 11:05,,,Pike St & E Broadway,,,,Little West St & 1 Pl,,,16119,Subscriber,1979,1
726,2013-06-01 11:05,,,E 20 St & FDR Drive,,,,W 11 St & 6 Ave,,,19260,Customer,NULL,0
487,2013-06-01 11:05,,,Old Fulton St,,,,Henry St & Atlantic Ave,,,17275,Subscriber,1977,2
1016,2013-06-01 11:05,,,W 39 St & 9 Ave,,,,Carmine St & 6 Ave,,,15092,Subscriber,1971,1
595,2013-06-01 11:05,,,E 52 St & 2 Ave,,,,Bayard St & Baxter St,,,17100,Subscriber,1981,2
3157,2013-06-01 11:05,,,Cadman Plaza West & Montague St,,,,E 15 St & Irving Pl,,,20336,Subscriber,1963,1
242,2013-06-01 11:05,,,W 27 St & 7 Ave,,,,Grand Army Plaza & Central Park S,,,18257,Subscriber,1980,1
1806,2013-06-01 11:07,,,Broadway & W 58 St,,,,E 30 St & Park Ave S,,,20302,Customer,NULL,0
1809,2013-06-01 11:07,,,W 15 St & 7 Ave,,,,E 30 St & Park Ave S,,,15467,Customer,NULL,0
288,2013-06-01 11:04,,,W 21 St & 6 Ave,,,,Broadway & W 24 St,,,20127,Subscriber,1983,1
2667,2013-06-01 11:07,,,Broadway & W 29 St,,,,NULL,,,16864,Subscriber,1957,1
883,2013-06-01 11:07,,,Fulton St & Rockwell Pl,,,,E 31 St & 3 Ave,,,18911,Subscriber,1978,1
1869,2013-06-01 11:07,,,FDR Drive & E 35 St,,,,South St & Gouverneur Ln,,,19325,Customer,NULL,0
1838,2013-06-01 11:07,,,FDR Drive & E 35 St,,,,South St & Gouverneur Ln,,,18244,Customer,NULL,0
592,2013-06-01 11:08,,,Fulton St & Broadway,,,,University Pl & E 14 St,,,19234,Customer,NULL,0
577,2013-06-01 11:08,,,Fulton St & Broadway,,,,Howard St & Centre St,,,15745,Customer,NULL,0
2438,2013-06-01 11:08,,,Broadway & W 58 St,,,,Greenwich St & W Houston St,,,17039,Subscriber,1954,2
319,2013-06-01 11:08,,,Great Jones St,,,,E 17 St & Broadway,,,17098,Subscriber,1962,2
311,2013-06-01 11:08,,,Great Jones St,,,,E 17 St & Broadway,,,17898,Subscriber,1960,1
711,2013-06-01 11:08,,,E 11 St & 1 Ave,,,,W 17 St & 8 Ave,,,17198,Subscriber,1962,1
919,2013-06-01 11:08,,,E 40 St & 5 Ave,,,,Greenwich Ave & 8 Ave,,,19359,Subscriber,1985,1
218,2013-06-01 11:09,,,Hicks St & Montague St,,,,E 2 St & Avenue C,,,20080,Subscriber,1961,2
700,2013-06-01 11:09,,,Liberty St & Broadway,,,,Cleveland Pl & Spring St,,,20068,Subscriber,1978,1
396,2013-06-01 11:09,,,Washington Park,,,,Johnson St & Gold St,,,19249,Subscriber,1985,1
367,2013-06-01 11:09,,,Grand Army Plaza & Central Park S,,,,Liberty St & Broadway,,,18802,Subscriber,1972,1
262,2013-06-01 11:09,,,West Thames St,,,,Christopher St & Greenwich St,,,16371,Subscriber,1986,1
1133,2013-06-01 11:09,,,11 Ave & W 59 St,,,,W 37 St & 10 Ave,,,19744,Customer,NULL,0
1282,2013-06-01 11:09,,,Spruce St & Nassau St,,,,Vesey Pl & River Terrace,,,17546,Subscriber,1985,1
1150,2013-06-01 11:09,,,W 47 St & 10 Ave,,,,11 Ave & W 59 St,,,18777,Subscriber,1978,1
542,2013-06-01 11:09,,,Broadway & E 14 St,,,,W 42 St & 8 Ave,,,17106,Subscriber,1979,1
1008,2013-06-01 11:09,,,E 47 St & 2 Ave,,,,Rivington St & Chrystie St,,,17362,Subscriber,1976,1
239,2013-06-01 11:10,,,E 14 St & Avenue B,,,,W 43 St & 10 Ave,,,16445,Subscriber,1976,1
2564,2013-06-01 11:08,,,11 Ave & W 59 St,,,,South St & Gouverneur Ln,,,18898,Subscriber,1981,2
304,2013-06-01 11:10,,,Greenwich St & W Houston St,,,,Bank St & Hudson St,,,18694,Subscriber,1956,2
15803,2013-06-01 11:10,,,Mott St & Prince St,,,,Mott St & Prince St,,,17209,Customer,NULL,0
15770,2013-06-01 11:10,,,Mott St & Prince St,,,,Mott St & Prince St,,,20279,Customer,NULL,0
643,2013-06-01 11:06,,,Fulton St & William St,,,,Franklin St & W Broadway,,,15368,Subscriber,1968,2
1352,2013-06-01 11:11,,,Great Jones St,,,,Duane St & Greenwich St,,,16008,Customer,NULL,0
2633,2013-06-01 11:07,,,Broadway & W 29 St,,,,Barrow St & Hudson St,,,19285,Subscriber,1959,2
1894,2013-06-01 11:11,,,Lafayette Ave & St James Pl,,,,DeKalb Ave & S Portland Ave,,,18336,Subscriber,1958,2
322,2013-06-01 11:11,,,W 29 St & 9 Ave,,,,W 20 St & 11 Ave,,,19543,Subscriber,1981,1
1003,2013-06-01 11:11,,,W 52 St & 11 Ave,,,,Christopher St & Greenwich St,,,18740,Customer,NULL,0
324,2013-06-01 11:12,,,Broadway & E 22 St,,,,E 2 St & 2 Ave,,,15392,Subscriber,1977,1
1943,2013-06-01 11:12,,,8 Ave & W 52 St,,,,Christopher St & Greenwich St,,,15281,Customer,NULL,0
227,2013-06-01 11:12,,,Broadway & E 22 St,,,,E 15 St & Irving Pl,,,17588,Subscriber,1972,1
1675,2013-06-01 11:12,,,Henry St & Poplar St,,,,Little West St & 1 Pl,,,17741,Subscriber,1971,1
2722,2013-06-01 11:12,,,Murray St & West St,,,,W 53 St & 10 Ave,,,16949,Subscriber,1980,1
1882,2013-06-01 11:13,,,E 17 St & Broadway,,,,Christopher St & Greenwich St,,,17824,Customer,NULL,0
337,2013-06-01 11:13,,,Hicks St & Montague St,,,,E 12 St & 3 Ave,,,17670,Subscriber,1980,1
373,2013-06-01 11:12,,,South End Ave & Liberty St,,,,Barrow St & Hudson St,,,19729,Subscriber,1962,1
556,2013-06-01 11:14,,,Lafayette St & E 8 St,,,,Allen St & Rivington St,,,16044,Subscriber,1986,1
1275,2013-06-01 11:14,,,W 17 St & 8 Ave,,,,Little West St & 1 Pl,,,14993,Subscriber,1983,1
565,2013-06-01 11:14,,,Lafayette St & E 8 St,,,,Allen St & Rivington St,,,15058,Subscriber,1981,1
638,2013-06-01 11:10,,,W 13 St & 6 Ave,,,,W 20 St & 11 Ave,,,15640,Subscriber,1975,1
1289,2013-06-01 11:14,,,E 2 St & Avenue B,,,,Warren St & Church St,,,17085,Subscriber,1962,2
743,2013-06-01 11:14,,,Bank St & Washington St,,,,Great Jones St,,,15971,Subscriber,1978,1
546,2013-06-01 11:14,,,Fulton St & William St,,,,Bayard St & Baxter St,,,15208,Subscriber,1978,1
1686,2013-06-01 11:15,,,Clinton Ave & Flushing Ave,,,,Hicks St & Montague St,,,15239,Customer,NULL,0
5153,2013-06-01 11:15,,,E 56 St & Madison Ave,,,,West St & Chambers St,,,15379,Customer,NULL,0
2030,2013-06-01 11:15,,,Lafayette Ave & Fort Greene Pl,,,,Broadway & E 14 St,,,19952,Subscriber,1977,1
1632,2013-06-01 11:15,,,Clinton Ave & Flushing Ave,,,,Hicks St & Montague St,,,17786,Customer,NULL,0
2647,2013-06-01 11:16,,,Allen St & Rivington St,,,,Great Jones St,,,18890,Subscriber,1988,2
672,2013-06-01 11:16,,,Cherry St,,,,W 27 St & 7 Ave,,,20160,Subscriber,1978,1
811,2013-06-01 11:16,,,Pike St & Monroe St,,,,Allen St & Hester St,,,16213,Subscriber,1969,2
589,2013-06-01 11:16,,,W 20 St & 7 Ave,,,,Carmine St & 6 Ave,,,16359,Subscriber,1969,1
1772,2013-06-01 11:17,,,Clinton St & Grand St,,,,Washington Square E,,,19385,Subscriber,1985,2
2804,2013-06-01 11:17,,,9 Ave & W 16 St,,,,Cherry St,,,18029,Customer,NULL,0
1534,2013-06-01 11:16,,,Broadway & W 24 St,,,,Central Park S & 6 Ave,,,19549,Customer,NULL,0
831,2013-06-01 11:17,,,Suffolk St & Stanton St,,,,E 55 St & Lexington Ave,,,19088,Customer,NULL,0
498,2013-06-01 11:17,,,Howard St & Centre St,,,,Norfolk St & Broome St,,,17148,Subscriber,1983,2
566,2013-06-01 11:17,,,W 20 St & 7 Ave,,,,Carmine St & 6 Ave,,,14692,Subscriber,1959,1
1471,2013-06-01 11:17,,,John St & William St,,,,Cleveland Pl & Spring St,,,17061,Subscriber,1980,1
5051,2013-06-01 11:17,,,Murray St & West St,,,,West St & Chambers St,,,17355,Customer,NULL,0
2758,2013-06-01 11:17,,,9 Ave & W 16 St,,,,Fulton St & Broadway,,,20229,Customer,NULL,0
713,2013-06-01 11:14,,,Leonard St & Church St,,,,Hudson St & Reade St,,,16230,Subscriber,1953,1
1558,2013-06-01 11:17,,,Greenwich St & Warren St,,,,E 20 St & 2 Ave,,,19408,Customer,NULL,0
24683,2013-06-01 11:17,,,Grand St & Greene St,,,,W 4 St & 7 Ave S,,,19436,Subscriber,1956,2
789,2013-06-01 11:18,,,W 59 St & 10 Ave,,,,S 5 Pl & S 5 St,,,14788,Customer,NULL,0
478,2013-06-01 11:18,,,Forsyth St & Canal St,,,,Clinton St & Grand St,,,15295,Subscriber,1967,1
275,2013-06-01 11:18,,,E 56 St & 3 Ave,,,,E 58 St & 3 Ave,,,16656,Subscriber,1965,1
1509,2013-06-01 11:18,,,8 Ave & W 31 St N,,,,NYCBS Depot - FAR,,,16925,Customer,NULL,0
611,2013-06-01 11:18,,,W 59 St & 10 Ave,,,,Cadman Plaza West & Montague St,,,16684,Subscriber,1988,2
571,2013-06-01 11:19,,,S 3 St & Bedford Ave,,,,S 3 St & Bedford Ave,,,15148,Customer,NULL,0
584,2013-06-01 11:19,,,NYCBS Depot - SSP,,,,W 21 St & 6 Ave,,,17606,Subscriber,1966,1
709,2013-06-01 11:19,,,Broadway & W 24 St,,,,W 22 St & 8 Ave,,,20127,Subscriber,1983,1
943,2013-06-01 11:19,,,Broadway & W 37 St,,,,E 16 St & 5 Ave,,,17434,Subscriber,1976,1
2658,2013-06-01 11:19,,,9 Ave & W 16 St,,,,Fulton St & Broadway,,,14729,Customer,NULL,0
2348,2013-06-01 11:19,,,South End Ave & Liberty St,,,,South End Ave & Liberty St,,,17426,Subscriber,1968,2
791,2013-06-01 11:19,,,E 3 St & 1 Ave,,,,W 52 St & 11 Ave,,,18666,Subscriber,1962,1
725,2013-06-01 11:19,,,E 14 St & Avenue B,,,,E 39 St & 3 Ave,,,19326,Subscriber,1958,1
124,2013-06-01 11:19,,,York St & Jay St,,,,Front St & Washington St,,,16490,Subscriber,1982,1
1547,2013-06-01 11:20,,,W 54 St & 9 Ave,,,,NULL,,,18604,Subscriber,1977,1
582,2013-06-01 11:19,,,E 48 St & Madison Ave,,,,South St & Whitehall St,,,20290,Subscriber,1985,1
804,2013-06-01 11:20,,,S 5 Pl & S 5 St,,,,5 Ave & E 29 St,,,18559,Subscriber,1983,1
1374,2013-06-01 11:20,,,8 Ave & W 31 St N,,,,E 20 St & 2 Ave,,,19265,Customer,NULL,0
291,2013-06-01 11:20,,,Bank St & Hudson St,,,,W 20 St & 7 Ave,,,18771,Subscriber,1985,1
509,2013-06-01 11:20,,,E 11 St & 2 Ave,,,,E 2 St & Avenue C,,,19628,Subscriber,1978,1
668,2013-06-01 11:21,,,E 16 St & 5 Ave,,,,NULL,,,15289,Subscriber,1984,1
365,2013-06-01 11:21,,,E 33 St & 5 Ave,,,,University Pl & E 14 St,,,20000,Subscriber,1988,1
2231,2013-06-01 11:21,,,Broadway & W 58 St,,,,Broadway & W 38 St,,,16813,Customer,NULL,0
444,2013-06-01 11:21,,,2 Ave & E 31 St,,,,1 Ave & E 18 St,,,16822,Customer,NULL,0
591,2013-06-01 11:22,,,W 56 St & 6 Ave,,,,E 17 St & Broadway,,,20215,Subscriber,1959,1
594,2013-06-01 11:17,,,6 Ave & Canal St,,,,St James Pl & Oliver St,,,19564,Subscriber,1986,1
1267,2013-06-01 11:22,,,Fulton St & Washington Ave,,,,Clinton St & Joralemon St,,,20118,Customer,NULL,0
710,2013-06-01 11:22,,,Henry St & Poplar St,,,,Fulton St & Rockwell Pl,,,18017,Customer,NULL,0
728,2013-06-01 11:22,,,Broadway & W 58 St,,,,Broadway & W 41 St,,,16306,Customer,NULL,0
349,2013-06-01 11:22,,,E 17 St & Broadway,,,,E 47 St & 1 Ave,,,19817,Subscriber,1958,1
373,2013-06-01 11:22,,,E 11 St & Broadway,,,,W 13 St & 6 Ave,,,15270,Subscriber,1978,1
303,2013-06-01 11:23,,,8 Ave & W 31 St N,,,,W 38 St & 8 Ave,,,16096,Subscriber,1966,2
661,2013-06-01 11:23,,,E 6 St & Avenue D,,,,E 20 St & 2 Ave,,,20240,Subscriber,1967,2
1775,2013-06-01 11:23,,,Cumberland St & Lafayette Ave,,,,Clermont Ave & Lafayette Ave,,,15127,Subscriber,1978,1
300,2013-06-01 11:23,,,1 Ave & E 44 St,,,,E 39 St & 3 Ave,,,19924,Subscriber,1985,1
892,2013-06-01 11:23,,,Broadway & E 14 St,,,,W 33 St & 7 Ave,,,17133,Subscriber,1984,2
515,2013-06-01 11:23,,,E 60 St & York Ave,,,,Cadman Plaza W & Pierrepont St,,,17256,Subscriber,1967,1
498,2013-06-01 11:23,,,E 17 St & Broadway,,,,Cadman Plaza W & Pierrepont St,,,17098,Subscriber,1964,1
559,2013-06-01 11:23,,,Forsyth St & Broome St,,,,6 Ave & Canal St,,,15332,Subscriber,1988,1
1500,2013-06-01 11:20,,,Broadway & W 60 St,,,,DeKalb Ave & S Portland Ave,,,20153,Subscriber,1972,1
12197,2013-06-01 11:23,,,Broadway & W 24 St,,,,W 37 St & 5 Ave,,,16898,Customer,NULL,0
832,2013-06-01 11:24,,,Broadway & E 14 St,,,,W 33 St & 7 Ave,,,18203,Subscriber,1985,1
993,2013-06-01 11:24,,,W 45 St & 8 Ave,,,,W 20 St & 11 Ave,,,19626,Customer,NULL,0
663,2013-06-01 11:24,,,E 27 St & 1 Ave,,,,Lispenard St & Broadway,,,19217,Subscriber,1955,1
334,2013-06-01 11:22,,,W 13 St & 6 Ave,,,,W 20 St & 7 Ave,,,19853,Subscriber,1975,1
246,2013-06-01 11:24,,,Lexington Ave & E 29 St,,,,5 Ave & E 29 St,,,19276,Subscriber,1980,2
2000,2013-06-01 11:24,,,W 51 St & 6 Ave,,,,E 2 St & Avenue C,,,15172,Customer,NULL,0
344,2013-06-01 11:24,,,Franklin Ave & Myrtle Ave,,,,Clinton Ave & Myrtle Ave,,,14531,Customer,NULL,0
376,2013-06-01 11:24,,,Columbia Heights & Cranberry St,,,,Henry St & Atlantic Ave,,,17871,Subscriber,1961,1
275,2013-06-01 11:24,,,Bank St & Hudson St,,,,W 4 St & 7 Ave S,,,15673,Subscriber,1946,1
383,2013-06-01 11:18,,,10 Ave & W 28 St,,,,9 Ave & W 18 St,,,18349,Subscriber,1966,1
515,2013-06-01 11:25,,,6 Ave & Canal St,,,,W Broadway & Spring St,,,15526,Customer,NULL,0
1558,2013-06-01 11:25,,,E 11 St & Broadway,,,,W 46 St & 11 Ave,,,16529,Subscriber,1983,1
1499,2013-06-01 11:25,,,11 Ave & W 59 St,,,,W 34 St & 11 Ave,,,19562,Customer,NULL,0
2176,2013-06-01 11:25,,,E 17 St & Broadway,,,,Bank St & Washington St,,,17390,Subscriber,1975,1
1540,2013-06-01 11:25,,,E 11 St & Broadway,,,,W 46 St & 11 Ave,,,19831,Subscriber,1985,2
1103,2013-06-01 11:25,,,W 26 St & 8 Ave,,,,E 3 St & 1 Ave,,,15288,Subscriber,1982,1
576,2013-06-01 11:24,,,St James Pl & Oliver St,,,,Water - Whitehall Plaza,,,19786,Subscriber,1978,1
453,2013-06-01 11:25,,,6 Ave & Canal St,,,,W Broadway & Spring St,,,14862,Customer,NULL,0
157,2013-06-01 11:25,,,Henry St & Atlantic Ave,,,,Atlantic Ave & Furman St,,,17275,Subscriber,1977,2
495,2013-06-01 11:25,,,E 2 St & Avenue C,,,,Washington Pl & Broadway,,,16275,Subscriber,1992,1
732,2013-06-01 11:26,,,S 5 Pl & S 5 St,,,,E 2 St & Avenue C,,,15278,Subscriber,1985,1
1985,2013-06-01 11:26,,,Broadway & W 29 St,,,,Broadway & W 29 St,,,14825,Customer,NULL,0
664,2013-06-01 11:26,,,E 7 St & Avenue A,,,,Greenwich Ave & Charles St,,,20267,Subscriber,1980,1
792,2013-06-01 11:26,,,E 23 St & 1 Ave,,,,Broadway & W 58 St,,,16118,Subscriber,1976,1
1049,2013-06-01 11:26,,,E 53 St & Madison Ave,,,,6 Ave & Broome St,,,17614,Subscriber,1965,1
271,2013-06-01 11:26,,,1 Ave & E 18 St,,,,E 20 St & FDR Drive,,,14728,Subscriber,1976,1
626,2013-06-01 11:27,,,Central Park S & 6 Ave,,,,2 Ave & E 58 St,,,14646,Subscriber,1972,2
1300,2013-06-01 11:27,,,W Broadway & Spring St,,,,Bank St & Washington St,,,20043,Customer,NULL,0
171,2013-06-01 11:24,,,Lawrence St & Willoughby St,,,,Cadman Plaza W & Pierrepont St,,,15840,Subscriber,1950,1
1254,2013-06-01 11:27,,,Greenwich St & Warren St,,,,Bank St & Washington St,,,19764,Customer,NULL,0
879,2013-06-01 11:27,,,11 Ave & W 41 St,,,,W 22 St & 8 Ave,,,15021,Subscriber,1978,1
6573,2013-06-01 11:28,,,Lawrence St & Willoughby St,,,,W 56 St & 10 Ave,,,18487,Customer,NULL,0
1342,2013-06-01 11:28,,,11 Ave & W 59 St,,,,W 34 St & 11 Ave,,,16032,Customer,NULL,0
576,2013-06-01 11:28,,,E 19 St & 3 Ave,,,,E 2 St & 2 Ave,,,19756,Subscriber,1979,1
1549,2013-06-01 11:28,,,9 Ave & W 16 St,,,,West Thames St,,,15300,Customer,NULL,0
21770,2013-06-01 11:28,,,Broadway & W 58 St,,,,Water - Whitehall Plaza,,,18874,Customer,NULL,0
907,2013-06-01 11:28,,,Spruce St & Nassau St,,,,Bank St & Hudson St,,,18332,Subscriber,1979,1
687,2013-06-01 11:29,,,5 Ave & E 29 St,,,,W 43 St & 10 Ave,,,18833,Subscriber,1980,2
726,2013-06-01 11:29,,,W 59 St & 10 Ave,,,,W 59 St & 10 Ave,,,16806,Subscriber,1945,1
1858,2013-06-01 11:29,,,Christopher St & Greenwich St,,,,Bus Slip & State St,,,16371,Subscriber,1986,1
1954,2013-06-01 11:29,,,11 Ave & W 59 St,,,,Christopher St & Greenwich St,,,19401,Subscriber,1978,1
539,2013-06-01 11:29,,,S Portland Ave & Hanson Pl,,,,Willoughby Ave & Hall St,,,15211,Subscriber,1971,2
599,2013-06-01 11:29,,,Cadman Plaza W & Pierrepont St,,,,Front St & Washington St,,,15466,Subscriber,1964,2
659,2013-06-01 11:28,,,W 13 St & 6 Ave,,,,E 47 St & 1 Ave,,,20231,Subscriber,1984,1
421,2013-06-01 11:29,,,Warren St & Church St,,,,St James Pl & Oliver St,,,19968,Subscriber,1964,1
519,2013-06-01 11:29,,,State St & Smith St,,,,Cumberland St & Lafayette Ave,,,16748,Subscriber,1983,2
819,2013-06-01 11:29,,,W 43 St & 10 Ave,,,,W 22 St & 8 Ave,,,14916,Subscriber,1986,1
769,2013-06-01 11:29,,,Clinton Ave & Myrtle Ave,,,,Front St & Washington St,,,16348,Subscriber,1979,1
2631,2013-06-01 11:29,,,E 6 St & Avenue D,,,,West Thames St,,,18153,Subscriber,1969,2
814,2013-06-01 11:30,,,W 43 St & 10 Ave,,,,W 22 St & 8 Ave,,,15003,Subscriber,1986,2
1544,2013-06-01 11:30,,,S 3 St & Bedford Ave,,,,Franklin Ave & Myrtle Ave,,,15654,Customer,NULL,0
2727,2013-06-01 11:30,,,Broadway & W 58 St,,,,Broadway & W 58 St,,,15387,Subscriber,1981,2
471,2013-06-01 11:29,,,W 20 St & 11 Ave,,,,W 20 St & 8 Ave,,,17401,Subscriber,1958,1
1800,2013-06-01 11:30,,,Christopher St & Greenwich St,,,,Bus Slip & State St,,,18120,Customer,NULL,0
1805,2013-06-01 11:30,,,West Thames St,,,,W 37 St & 5 Ave,,,14955,Subscriber,1982,1
65,2013-06-01 11:30,,,E 10 St & 5 Ave,,,,E 10 St & 5 Ave,,,17445,Subscriber,1956,1
240,2013-06-01 11:31,,,Sullivan St & Washington Sq,,,,DeKalb Ave & Hudson Ave,,,16072,Subscriber,1950,1
799,2013-06-01 11:31,,,W 29 St & 9 Ave,,,,W 54 St & 9 Ave,,,19335,Subscriber,1985,1
556,2013-06-01 11:31,,,W 54 St & 9 Ave,,,,W 45 St & 6 Ave (1),,,17218,Subscriber,1982,1
1564,2013-06-01 11:30,,,W 13 St & 7 Ave,,,,St Marks Pl & 1 Ave,,,18195,Subscriber,1971,1
2016,2013-06-01 11:31,,,W 14 St & The High Line,,,,Vesey Pl & River Terrace,,,19319,Customer,NULL,0
300,2013-06-01 11:32,,,Broadway & E 22 St,,,,DeKalb Ave & Hudson Ave,,,18847,Subscriber,1956,1
776,2013-06-01 11:31,,,Broadway & Battery Pl,,,,Vesey Pl & River Terrace,,,19415,Customer,NULL,0
2626,2013-06-01 11:32,,,Broadway & W 58 St,,,,Broadway & W 58 St,,,17079,Subscriber,1982,2
800,2013-06-01 11:32,,,Broadway & Battery Pl,,,,Vesey Pl & River Terrace,,,15922,Customer,NULL,0
303,2013-06-01 11:32,,,W 13 St & 5 Ave,,,,W 21 St & 6 Ave,,,17167,Subscriber,1988,2
2182,2013-06-01 11:32,,,W 14 St & The High Line,,,,Vesey Pl & River Terrace,,,20027,Customer,NULL,0
568,2013-06-01 11:27,,,E 2 St & Avenue B,,,,Cadman Plaza W & Pierrepont St,,,14858,Subscriber,1986,1
499,2013-06-01 11:32,,,Fulton St & Grand Ave,,,,Atlantic Ave & Fort Greene Pl,,,19982,Subscriber,1981,1
680,2013-06-01 11:32,,,Allen St & Stanton St,,,,E 17 St & Broadway,,,16031,Subscriber,1986,1
366,2013-06-01 11:32,,,Henry St & Atlantic Ave,,,,Columbia Heights & Cranberry St,,,16006,Subscriber,1961,1
950,2013-06-01 11:32,,,W 34 St & 11 Ave,,,,Pershing Square North,,,20037,Subscriber,1974,1
1532,2013-06-01 11:32,,,Mott St & Prince St,,,,Mott St & Prince St,,,19284,Subscriber,1982,1
9234,2013-06-01 11:32,,,Norfolk St & Broome St,,,,W 37 St & 10 Ave,,,18322,Subscriber,1959,1
994,2013-06-01 11:33,,,1 Ave & E 18 St,,,,DeKalb Ave & Vanderbilt Ave,,,14738,Subscriber,1984,1
736,2013-06-01 11:33,,,Clinton Ave & Myrtle Ave,,,,Willoughby Ave & Hall St,,,17803,Subscriber,1959,1
832,2013-06-01 11:33,,,West St & Chambers St,,,,Bank St & Hudson St,,,17374,Subscriber,1968,2
3001,2013-06-01 11:33,,,Fulton St & Broadway,,,,W 41 St & 8 Ave,,,16205,Customer,NULL,0
717,2013-06-01 11:21,,,W 18 St & 6 Ave,,,,W 27 St & 7 Ave,,,15268,Subscriber,1968,1
949,2013-06-01 11:33,,,Greenwich Ave & Charles St,,,,W 43 St & 10 Ave,,,18929,Subscriber,1964,1
1540,2013-06-01 11:33,,,W 4 St & 7 Ave S,,,,W 26 St & 8 Ave,,,16633,Customer,NULL,0
1867,2013-06-01 11:33,,,Greenwich St & W Houston St,,,,Broadway & E 14 St,,,16798,Subscriber,1952,2
956,2013-06-01 11:33,,,Hicks St & Montague St,,,,Cadman Plaza W & Pierrepont St,,,14936,Customer,NULL,0
1047,2013-06-01 11:33,,,W 37 St & 10 Ave,,,,W 20 St & 7 Ave,,,19699,Subscriber,1961,1
883,2013-06-01 11:33,,,Cleveland Pl & Spring St,,,,S 5 Pl & S 5 St,,,19944,Subscriber,1980,1
3498,2013-06-01 11:34,,,W 51 St & 6 Ave,,,,W 51 St & 6 Ave,,,18975,Customer,NULL,0
1519,2013-06-01 11:34,,,W 4 St & 7 Ave S,,,,W 31 St & 7 Ave,,,15673,Customer,NULL,0
33689,2013-06-01 11:34,,,Central Park S & 6 Ave,,,,E 25 St & 2 Ave,,,17690,Subscriber,1985,1
1129,2013-06-01 11:34,,,8 Ave & W 31 St N,,,,Greenwich St & North Moore St,,,17671,Customer,NULL,0
2955,2013-06-01 11:34,,,Fulton St & Broadway,,,,Murray St & West St,,,20152,Customer,NULL,0
743,2013-06-01 11:34,,,Murray St & West St,,,,Water - Whitehall Plaza,,,19120,Subscriber,1965,1
308,2013-06-01 11:34,,,Jay St & Tech Pl,,,,Allen St & Stanton St,,,15085,Subscriber,1971,1
1495,2013-06-01 11:34,,,Barclay St & Church St,,,,St Marks Pl & 1 Ave,,,16827,Subscriber,1978,1
495,2013-06-01 11:34,,,W 20 St & 8 Ave,,,,W 38 St & 8 Ave,,,18946,Subscriber,1980,1
195,2013-06-01 11:34,,,Cadman Plaza E & Tillary St,,,,Cadman Plaza E & Tillary St,,,16255,Subscriber,1989,2
1237,2013-06-01 11:34,,,2 Ave & E 31 St,,,,Mott St & Prince St,,,17243,Customer,NULL,0
1654,2013-06-01 11:35,,,Lafayette St & E 8 St,,,,Central Park S & 6 Ave,,,15261,Customer,NULL,0
1217,2013-06-01 11:35,,,Broadway & W 24 St,,,,Mott St & Prince St,,,16135,Subscriber,1974,1
1615,2013-06-01 11:35,,,E 11 St & Broadway,,,,West St & Chambers St,,,16570,Subscriber,1976,1
479,2013-06-01 11:35,,,Lafayette Ave & St James Pl,,,,Washington Park,,,18719,Subscriber,1988,1
131,2013-06-01 11:35,,,Broadway & W 32 St,,,,W 33 St & 7 Ave,,,15710,Subscriber,1982,1
1477,2013-06-01 11:35,,,Market St & Cherry St,,,,E 23 St & 1 Ave,,,18876,Customer,NULL,0
857,2013-06-01 11:35,,,Fulton St & Rockwell Pl,,,,11 Ave & W 27 St,,,18017,Customer,NULL,0
862,2013-06-01 11:35,,,6 Ave & Canal St,,,,Washington Square E,,,18144,Subscriber,1983,1
843,2013-06-01 11:35,,,Broadway & W 41 St,,,,Broadway & E 14 St,,,16306,Customer,NULL,0
297,2013-06-01 11:35,,,Lispenard St & Broadway,,,,Greenwich St & North Moore St,,,20165,Subscriber,1978,1
679,2013-06-01 11:35,,,6 Ave & Canal St,,,,W 11 St & 6 Ave,,,14805,Subscriber,1985,1
1434,2013-06-01 11:36,,,Market St & Cherry St,,,,E 23 St & 1 Ave,,,19422,Customer,NULL,0
2340,2013-06-01 11:36,,,9 Ave & W 45 St,,,,W 20 St & 11 Ave,,,19731,Customer,NULL,0
483,2013-06-01 11:36,,,W 56 St & 6 Ave,,,,W 54 St & 9 Ave,,,17223,Customer,NULL,0
759,2013-06-01 11:36,,,W 13 St & 7 Ave,,,,Washington Pl & Broadway,,,15896,Subscriber,1948,1
90262,2013-06-01 11:34,,,W 22 St & 8 Ave,,,,8 Ave & W 52 St,,,20127,Subscriber,1972,1
884,2013-06-01 11:35,,,W 22 St & 8 Ave,,,,W 52 St & 5 Ave,,,18796,Subscriber,1973,1
2243,2013-06-01 11:36,,,9 Ave & W 45 St,,,,E 51 St & Lexington Ave,,,18834,Customer,NULL,0
